Due Date,Assignment,Class
8/27/2021,HW 1,IST 320
9/15/2021,Quiz 1,IST 320
9/29/2021,HW 2,IST 320
10/6/2021,Quiz 2,IST 320
10/20/2021,Midterm,IST 320
10/27/2021,HW 3,IST 320
11/3/2021,Quiz 3,IST 320
11/15/2021,HW 4,IST 320
11/22/2021,Quiz 4,IST 320
12/6/2021,Project,IST 320
12/15/2021,Final Exam,IST 320
9/7/2021,HW 1,IST 325
9/16/2021,HW 2,IST 325
8/31/2021,Project Milestone 1,IST 325
10/14/2021,HW 3,IST 325
10/21/2021,Exam 1,IST 325
10/28/2021,Project Milestone 2,IST 325
11/11/2021,HW 4,IST 325
11/23/2021,Project Milestone 3,IST 325
12/10/2021,Final Project,IST 325
12/16/2021,Exam 2 1:30pm,IST 325
8/27/2021,Assessment,IST 410
